PRACTICE_CODE,TOTAL,16OV,17OV,18OV,30_74,50OV,0_64,65OV,65OV%
A81001,4111,3345,3307,3258,2228,1716,3161,950,0.231087327
A81002,19189,16000,15801,15602,11050,8595,14979,4210,0.219396529
A81004,11014,9050,8932,8808,6048,4151,8902,2112,0.191755947
A81005,8154,6844,6769,6694,4784,4050,5768,2386,0.29261712
A81006,14709,11883,11725,11581,8343,5746,12021,2688,0.182745258
A81007,9877,8033,7914,7802,5523,3966,7985,1892,0.191556141
A81009,8416,6842,6730,6629,4745,3288,6979,1437,0.170746198
A81011,11822,9767,9642,9532,6676,4935,9400,2422,0.204872272
A81012,5035,3948,3889,3831,2703,1711,4367,668,0.132671301
A81013,6833,5530,5462,5394,3928,2795,5459,1374,0.20108298
A81014,3885,3311,3282,3244,2224,1961,2821,1064,0.273873874
A81016,10504,8404,8306,8189,5441,3013,9119,1385,0.131854532
A81017,18874,14962,14689,14444,10753,6794,15891,2983,0.158048109
A81018,10153,8249,8140,8041,5745,4287,8000,2153,0.21205555
A81019,9199,7225,7092,6965,4957,3400,7708,1491,0.162082835
A81020,8128,6544,6473,6379,4509,3298,6368,1760,0.216535433
A81021,13521,10944,10791,10667,7537,5413,10874,2647,0.195769544
A81022,10017,8299,8176,8090,5877,4438,7781,2236,0.223220525
A81023,7863,6321,6233,6158,4123,2257,6940,923,0.117385222
A81025,4069,3332,3295,3247,2295,1676,3219,850,0.208896535
A81026,19668,15339,15145,14941,10614,6742,16582,3086,0.156904617
A81027,15360,12662,12505,12322,9151,6723,11879,3481,0.226627604
A81029,6606,5489,5432,5377,3417,1790,5826,780,0.118074478
A81030,14296,11412,11242,11090,7674,5469,11568,2728,0.190822608
A81031,12813,10436,10307,10158,7117,5023,10449,2364,0.184500117
A81032,11006,9296,9188,9074,6355,5171,8273,2733,0.248319099
A81034,22188,17330,17021,16764,12483,7492,19110,3078,0.138723634
A81035,10177,8167,8008,7892,5619,3524,8546,1631,0.160263339
A81036,17460,14113,13913,13740,9916,6967,13940,3520,0.201603666
