PRACTICE_CODE,Percent_male,Total,AgeAll,AgeMale,AgeFemale,16+,17+,18+,30_74,50+,0_64,65+,16perc,17perc,18perc,30_74perc,50perc,0_64perc,65perc,QOF
H85691,0.308724832,149,87.2885906,83.58695652,88.94174757,149,149,149,13,149,3,146,1,1,1,0.087248322,1,0.020134228,0.979865772,Yes
E87711,0.952702703,296,81.23648649,81.03191489,85.35714286,296,296,296,70,295,7,289,1,1,1,0.236486486,0.996621622,0.023648649,0.976351351,Yes
Y06113,0.346774194,372,82.88978495,80,84.42386831,372,372,372,67,372,12,360,1,1,1,0.180107527,1,0.032258065,0.967741935,Yes
Y02625,0.361524164,1076,80.6366171,76.77377892,82.82387191,1076,1076,1076,272,1064,104,972,1,1,1,0.252788104,0.988847584,0.096654275,0.903345725,Yes
Y04225,0.412621359,824,79.62014563,75.4,82.58471074,824,824,824,219,793,105,719,1,1,1,0.265776699,0.962378641,0.127427184,0.872572816,Yes
H82087,0.458677686,4114,58.30845892,56.0673026,60.20745397,3784,3751,3731,2367,2979,2076,2038,0.919786096,0.911764706,0.906903257,0.575352455,0.724112786,0.504618376,0.495381624,Yes
J81022,0.474894663,5696,54.59866573,53.12384473,55.93246406,5065,5034,4984,3110,3622,3183,2513,0.889220506,0.88377809,0.875,0.545997191,0.635884831,0.558813202,0.441186798,Yes
F81026,0.4667481,7368,54.02361564,52.87728991,55.02697888,6509,6438,6374,4074,4702,4177,3191,0.883414767,0.873778502,0.865092291,0.552931596,0.638165038,0.566910966,0.433089034,Yes
J81061,0.486493154,8107,53.99605279,52.56110548,55.35551285,7281,7217,7156,4451,5057,4677,3430,0.898112742,0.89021833,0.882693968,0.549031701,0.623781917,0.576908844,0.423091156,Yes
L83067,0.462466209,14427,53.9425383,52.32059353,55.3379755,12818,12677,12554,7914,9125,8331,6096,0.888473002,0.87869966,0.870173979,0.548554793,0.632494628,0.577458931,0.422541069,Yes
J81028,0.473057694,12601,53.24918657,51.78493541,54.56370482,11093,10991,10906,7036,7735,7368,5233,0.880326958,0.872232363,0.865486866,0.558368383,0.613840171,0.584715499,0.415284501,Yes
