county_conurbation,group_code,register,list,prevalence
Bedfordshire,AF,12645.647011147861,734527.7151546594,0.017216024324535176
Bedfordshire,AST,47721.21694150703,734527.7151546594,0.0649685722634156
Bedfordshire,CAN,20462.78987764078,734527.7151546594,0.02785843128238151
Bedfordshire,CHD,20507.147921521453,734527.7151546594,0.027918821166882105
Bedfordshire,CKD,18256.27609117468,566657.9826612322,0.03221745153123329
Bedfordshire,COPD,11407.416130420595,734527.7151546594,0.015530273255950177
Bedfordshire,CVDPP,5229.131010329247,409158.10307252425,0.012780221071174463
Bedfordshire,DEM,4832.601612238064,734493.5108822079,0.0065795021203571636
Bedfordshire,DEP,59920.47887594771,566657.9826612322,0.10574364203701732
Bedfordshire,DM,42119.62142086986,574929.2838753383,0.07326052542838059
Bedfordshire,EP,3999.303340741938,566657.9826612322,0.00705770228800052
Bedfordshire,HF,5321.529979137121,734527.7151546594,0.007244832113675438
Bedfordshire,HYP,99878.33648944291,734527.7151546594,0.13597626669323554
Bedfordshire,LD,3646.378157294796,734527.7151546594,0.004964248566886313
Bedfordshire,MH,7020.373967365315,734527.7151546594,0.00955767062633863
Bedfordshire,OB,59049.65557947263,566657.9826612322,0.10420687149266643
Bedfordshire,OST,1454.5538172107015,247997.11781288142,0.005865204523498496
Bedfordshire,PAD,3179.025786292062,734527.7151546594,0.004327986161315504
Bedfordshire,PC,3428.2483046972216,734527.7151546594,0.0046672824373623295
Bedfordshire,RA,4456.352853991433,583582.0878998165,0.007636205679356724
Bedfordshire,STIA,11181.097312658916,734527.7151546594,0.015222158513521395
Berkshire,AF,17487.635424800097,1015819.8534608097,0.017215292027637823
Berkshire,AST,62228.265349207104,1015819.8534608097,0.061259154501854665
Berkshire,CAN,28014.680331170526,1015819.8534608097,0.027578394176612075
Berkshire,CHD,23624.170809355695,1015819.8534608097,0.023256260181241984
Berkshire,CKD,29792.85193576901,789755.8802111639,0.037724128027768575
Berkshire,COPD,12193.828693995554,1015819.8534608097,0.012003928307221249
Berkshire,CVDPP,7581.744757770461,574079.6201626345,0.01320678263343085
Berkshire,DEM,6474.470745888278,1015781.7683651126,0.006373879653607933
Berkshire,DEP,83030.18418453651,789755.8802111639,0.10513398667235756
Berkshire,DM,49656.84172544849,801453.7078336645,0.06195846527389749
Berkshire,EP,5355.2405155709275,789755.8802111639,0.006780880838948677
Berkshire,HF,7535.4386103311135,1015819.8534608097,0.007418085583441327
Berkshire,HYP,131314.43244951474,1015819.8534608097,0.1292694093368405
Berkshire,LD,4126.209151086987,1015819.8534608097,0.004061949702035604
Berkshire,MH,7654.537069544773,1015819.8534608097,0.007535329264796738
Berkshire,OB,64699.91897109348,789755.8802111639,0.08192394712375436
Berkshire,OST,2583.8336975876323,331887.51020129735,0.0077852694607895255
Berkshire,PAD,3824.949049140718,1015819.8534608097,0.0037653812692373064
Berkshire,PC,4438.758752840274,1015819.8534608097,0.0043696318178049086
