imd_overall,group_code,register,list,prevalence
1,AF,111697.2418493436,6279715.236406108,0.017786991550474845
1,AST,431456.896362613,6279715.236406108,0.0687064429070412
1,CAN,166976.69344122833,6279715.236406108,0.026589851156497563
1,CHD,209533.12701156602,6279715.236406108,0.03336666060856004
1,CKD,196240.91311287766,4649675.676775199,0.04220529059544671
1,COPD,164677.4736340617,6279715.236406108,0.026223716750619235
1,CVDPP,40308.00218362617,3271799.127133932,0.012319827904268572
1,DEM,39260.659016625505,6286306.495923201,0.006245425520070784
1,DEP,639504.9590886487,4649675.676775199,0.13753754101236149
1,DM,403249.10490334505,4726932.715836749,0.08530883114801496
1,EP,46163.38763920407,4649675.676775199,0.00992830271362515
1,HF,59355.99665516426,6279715.236406108,0.009452020421412261
1,HYP,883576.0922291134,6279715.236406108,0.14070321009249864
1,LD,42073.45552101821,6279715.236406108,0.006699898631883971
1,MH,74250.1602038274,6279715.236406108,0.011823810062814391
1,OB,613658.2582907261,4649675.676775199,0.1319787230227488
1,OST,13792.00386467934,1794985.127868137,0.007683631273903527
1,PAD,47429.24528939812,6279715.236406108,0.007552770070596697
1,PC,31841.014886920133,6279715.236406108,0.0050704552178297176
1,RA,37924.109049506755,4807298.570390632,0.007888860759157115
1,STIA,112895.94948089645,6279715.236406108,0.01797787721748781
10,AF,133384.8448380554,5716299.560378755,0.023334124363002674
10,AST,368820.6755530896,5716299.560378755,0.06452087957557143
10,CAN,204481.80623796151,5716299.560378755,0.03577170931615991
10,CHD,169807.57106218033,5716299.560378755,0.029705855907056256
10,CKD,186193.19773050444,4590564.1205544025,0.04055998191961163
10,COPD,86047.09774299285,5716299.560378755,0.015052937102773436
10,CVDPP,38602.94641918056,3286650.0748208575,0.01174537767647341
10,DEM,53438.42559938347,5712819.625408273,0.00935412442600346
10,DEP,490770.331817075,4590564.1205544025,0.10690850164136356
10,DM,272089.8983152796,4657713.332915092,0.058417055509293984
10,EP,32822.389856955444,4590564.1205544025,0.0071499687173504686
10,HF,49473.08765430087,5716299.560378755,0.008654740209420173
10,HYP,795842.7728876151,5716299.560378755,0.13922341971085986
10,LD,22894.206030046054,5716299.560378755,0.004005074574595792
10,MH,41150.33698917276,5716299.560378755,0.0071987719598176885
10,OB,387789.4038604303,4590564.1205544025,0.08447532670856081
10,OST,23880.39283760767,2461485.9851684803,0.0097016164144331455
10,PAD,29403.942231879824,5716299.560378755,0.005143877069649505
10,PC,27065.063203813563,5716299.560378755,0.004734717437030235
10,RA,35167.20426321169,4726183.009917707,0.00744093154865453
10,STIA,104626.66128496118,5716299.560378755,0.018303215249627112
2,AF,107822.30677041346,6295250.775941509,0.01712756339786761
2,AST,403289.5269900159,6295250.775941509,0.06406250383722012
2,CAN,166526.07023401055,6295250.775941509,0.026452650761812604
2,CHD,189612.3442582474,6295250.775941509,0.03011990324243902
2,CKD,188012.55162069382,4843894.914658076,0.038814333286164064
2,COPD,135582.78099481793,6295250.775941509,0.021537312145367294
2,CVDPP,40017.21370074013,3376795.6050574994,0.011850647294377395
2,DEM,39677.02025540089,6297832.004675984,0.0063001077554850115
2,DEP,591518.2361715758,4843894.914658076,0.12211624046210967
2,DM,389827.24924272386,4914902.038104549,0.07931536503076718
2,EP,41278.249460108134,4843894.914658076,0.008521706227605457
2,HF,55506.23730313895,6295250.775941509,0.008817160630878524
2,HYP,861683.6126155667,6295250.775941509,0.13687836168634512
2,LD,37104.6645720384,6295250.775941509,0.005894072514766352
2,MH,70190.2991602522,6295250.775941509,0.011149722490563473
2,OB,578514.0696988344,4843894.914658076,0.11943158963837079
2,OST,13992.483716907904,1871553.749573135,0.007476399606529771
2,PAD,39434.258251858446,6295250.775941509,0.006264128254042543
2,PC,29260.571379682544,6295250.775941509,0.004648039041035085
2,RA,37584.84704809459,4988671.433820108,0.007534039382367932
2,STIA,105419.21342164183,6295250.775941509,0.016745832243017435
3,AF,110247.88803721213,6359957.589521578,0.017334689183910963
3,AST,397720.2436705182,6359957.589521578,0.06253504651128285
3,CAN,171668.31187230063,6359957.589521578,0.026992052927386618
3,CHD,185048.1323602344,6359957.589521578,0.02909581231565327
3,CKD,190784.87180517573,5023324.064443035,0.037979805674020185
3,COPD,125896.6072168651,6359957.589521578,0.01979519602839609
3,CVDPP,40374.262141344196,3474986.996402735,0.011618536179599851
3,DEM,41630.876282795005,6362801.822871337,0.006542852888039231
3,DEP,578462.691535659,5023324.064443035,0.11515536009914912
3,DM,384667.1308904963,5089818.777593592,0.0755758009664074
