region,imd_overall,group_code,register,list,prevalence
East Midlands,1,AF,8349.612686440507,451942.9182406921,0.018474927583650592
East Midlands,1,AST,29350.526209980093,451942.9182406921,0.0649429939609073
East Midlands,1,CAN,12370.892411401484,451942.9182406921,0.02737268781544021
East Midlands,1,CHD,15013.523950684992,451942.9182406921,0.03321995620404701
East Midlands,1,CKD,15595.353653676486,332107.25480428396,0.04695878644044399
East Midlands,1,COPD,10996.36948713571,451942.9182406921,0.02433132380952444
East Midlands,1,CVDPP,3145.861258286856,235616.14525975377,0.013351637065527567
East Midlands,1,DEM,3091.314815810546,452655.3327177446,0.006829290615555722
East Midlands,1,DEP,44225.34936398444,332107.25480428396,0.1331658635101095
East Midlands,1,DM,28839.669554262826,337826.3589525184,0.08536832248284171
East Midlands,1,EP,3219.120123038533,332107.25480428396,0.009693013556525923
East Midlands,1,HF,4581.896911572356,451942.9182406921,0.010138220396081449
East Midlands,1,HYP,64622.90416989119,451942.9182406921,0.14298908459823426
East Midlands,1,LD,3382.285177529902,451942.9182406921,0.007483876925644384
East Midlands,1,MH,4850.734334376557,451942.9182406921,0.010733068577021472
East Midlands,1,OB,41232.090552404785,332107.25480428396,0.12415293540246058
East Midlands,1,OST,1146.3027625859781,129996.13658302324,0.008817975616174418
East Midlands,1,PAD,3138.0112409381077,451942.9182406921,0.006943379604560793
East Midlands,1,PC,2849.5016213091594,451942.9182406921,0.006305003367242929
East Midlands,1,RA,2701.274307124607,343635.6194433516,0.00786086818211787
East Midlands,1,STIA,8211.354292598517,451942.9182406921,0.018169007547597815
East Midlands,10,AF,12763.518535441437,534155.8090205494,0.023894748161299908
East Midlands,10,AST,35739.54478192922,534155.8090205494,0.06690846411922909
East Midlands,10,CAN,18960.786983369533,534155.8090205494,0.0354967345916107
East Midlands,10,CHD,17019.671804336114,534155.8090205494,0.03186274775433801
East Midlands,10,CKD,20448.462473263247,427139.85835767305,0.047872990715234
East Midlands,10,COPD,9192.011635226232,534155.8090205494,0.017208483891771376
East Midlands,10,CVDPP,3877.5017314877146,312005.11028410506,0.012427686610507584
East Midlands,10,DEM,4996.286582186026,533903.7252585655,0.009358029071189497
East Midlands,10,DEP,49375.77205408137,427139.85835767305,0.11559626452077834
East Midlands,10,DM,27699.03058520244,433447.5976249554,0.06390398917187974
East Midlands,10,EP,3196.1648043591076,427139.85835767305,0.00748271260998252
East Midlands,10,HF,5632.228690455858,534155.8090205494,0.010544168190894244
East Midlands,10,HYP,78860.89724810724,534155.8090205494,0.14763650589649097
East Midlands,10,LD,2385.061231588686,534155.8090205494,0.004465103985224901
East Midlands,10,MH,3629.237462240366,534155.8090205494,0.006794342401508445
East Midlands,10,OB,41910.86036428049,427139.85835767305,0.09811975994332445
East Midlands,10,OST,1954.1774988979444,232260.96950249508,0.008413714551712278
East Midlands,10,PAD,3103.681551096919,534155.8090205494,0.005810442381573946
East Midlands,10,PC,3832.045992434362,534155.8090205494,0.0071740228744511135
East Midlands,10,RA,3246.346859692663,440134.66712152155,0.007375803594213005
East Midlands,10,STIA,10275.405916787106,534155.8090205494,0.01923672034125871
East Midlands,2,AF,9738.39121369298,505596.20446512505,0.019261203165073824
East Midlands,2,AST,32404.04047046268,505596.20446512505,0.06409075104656535
East Midlands,2,CAN,14243.835802168453,505596.20446512505,0.028172355085689656
East Midlands,2,CHD,16915.78663633124,505596.20446512505,0.03345710764230639
East Midlands,2,CKD,18714.5710261339,392162.2195372745,0.047721504249480885
East Midlands,2,COPD,11449.741486929248,505596.20446512505,0.022646019463381923
East Midlands,2,CVDPP,3442.323136721879,265444.26244610903,0.012968158004246732
East Midlands,2,DEM,3739.215802741456,506002.6850113882,0.007389715338481456
East Midlands,2,DEP,49872.405375108145,392162.2195372745,0.1271728965476437
East Midlands,2,DM,32275.914799033293,397562.7776316243,0.08118444838148221
East Midlands,2,EP,3526.7343056116847,392162.2195372745,0.00899304963587007
East Midlands,2,HF,5122.534019646658,505596.20446512505,0.010131670242789569
East Midlands,2,HYP,72982.84089711991,505596.20446512505,0.1443500569279968
East Midlands,2,LD,3546.260397842387,505596.20446512505,0.007014017048632731
East Midlands,2,MH,4979.4469549462465,505596.20446512505,0.009848663639028006
East Midlands,2,OB,46550.20139345777,392162.2195372745,0.11870139211366136
East Midlands,2,OST,1318.2993588678971,157655.1344651,0.008361918331050157
East Midlands,2,PAD,3455.1397234465803,505596.20446512505,0.006833792842851352
East Midlands,2,PC,3210.6192851526575,505596.20446512505,0.006350164927660408
East Midlands,2,RA,3077.1129555550406,403171.99240968586,0.007632258722049849
East Midlands,2,STIA,9372.210897838462,505596.20446512505,0.018536948685667867
East Midlands,3,AF,10835.941521881554,542006.3197088265,0.019992278923431698
East Midlands,3,AST,34508.58777026431,542006.3197088265,0.06366823875559757
East Midlands,3,CAN,15850.664209072846,542006.3197088265,0.029244426924003485
East Midlands,3,CHD,17944.594200807656,542006.3197088265,0.03310772134621557
East Midlands,3,CKD,20531.238954235938,429918.4956868245,0.047756119264968734
East Midlands,3,COPD,11731.465464684276,542006.3197088265,0.021644517855412805
East Midlands,3,CVDPP,3734.9284427650196,292422.9428558658,0.01277235091846385
East Midlands,3,DEM,4031.6535502291035,542245.8312029863,0.007435102896567737
East Midlands,3,DEP,53531.05169510871,429918.4956868245,0.12451441897048221
East Midlands,3,DM,35241.2559671583,435496.91601855913,0.0809219415130289
East Midlands,3,EP,3741.6769315041624,429918.4956868245,0.008703223911142914
East Midlands,3,HF,5826.006855536529,542006.3197088265,0.010748964806658236
East Midlands,3,HYP,79589.74189697884,542006.3197088265,0.14684283006097712
East Midlands,3,LD,3560.310250907891,542006.3197088265,0.006568761509682286
East Midlands,3,MH,5040.994210556311,542006.3197088265,0.009300618880725238
East Midlands,3,OB,49099.3450677474,429918.4956868245,0.11420617061219432
East Midlands,3,OST,1547.568691122658,178044.4677118844,0.008692034697910236
East Midlands,3,PAD,3554.466119284505,542006.3197088265,0.006557979104734452
East Midlands,3,PC,3438.9858442226396,542006.3197088265,0.006344918350896927
East Midlands,3,RA,3450.6463727551795,441165.7996434368,0.007821654297645225
East Midlands,3,STIA,10201.022962112846,542006.3197088265,0.01882085612505954
East Midlands,4,AF,10014.390564868643,471111.1209314954,0.02125696066156936
East Midlands,4,AST,30879.02418033514,471111.1209314954,0.06554509712969667
East Midlands,4,CAN,14695.725743658104,471111.1209314954,0.03119375682450727
East Midlands,4,CHD,16300.614827688516,471111.1209314954,0.03460036094129648
East Midlands,4,CKD,19444.69812280916,382517.5243357353,0.0508334831366904
East Midlands,4,COPD,9923.865902084117,471111.1209314954,0.02106480925872084
East Midlands,4,CVDPP,3388.54341764281,260142.89411296137,0.013025700468187337
East Midlands,4,DEM,3928.9741039094333,471003.45277626667,0.008341709770386231
