region,group_code,register,list,prevalence
East Midlands,AF,111902.87169052883,5109290.081772975,0.02190184348501454
East Midlands,AST,337318.70356543927,5109290.081772975,0.06602066004605993
East Midlands,CAN,164278.86810341795,5109290.081772975,0.032152973402209246
East Midlands,CHD,169780.85910416467,5109290.081772975,0.033229833575088186
East Midlands,CKD,199156.62943935354,4089420.853681793,0.04870044844126243
East Midlands,COPD,104852.8196192963,5109290.081772975,0.020521993846728568
East Midlands,CVDPP,36905.17310655175,2853863.453336873,0.01293165342700628
East Midlands,DEM,44374.187346518374,5109176.205602381,0.008685194160628205
East Midlands,DEP,505221.5540008972,4089420.853681793,0.12354354615911822
East Midlands,DM,308059.9842807628,4142789.0985111957,0.07436052788481824
East Midlands,EP,34145.56476025691,4089420.853681793,0.008349731167804587
East Midlands,HF,54797.50018050777,5109290.081772975,0.010725071253243951
East Midlands,HYP,760290.2159486124,5109290.081772975,0.14880545120366
East Midlands,LD,29852.416779349875,5109290.081772975,0.005842771951008659
East Midlands,MH,42676.7495017778,5109290.081772975,0.00835277481191057
East Midlands,OB,457466.3188417895,4089420.853681793,0.11186579596715335
East Midlands,OST,16546.562634537902,1963322.4507595454,0.008427837530272512
East Midlands,PAD,32894.468485088095,5109290.081772975,0.00643816811310768
East Midlands,PC,34472.52467790125,5109290.081772975,0.006747028281067757
East Midlands,RA,32596.84096999954,4198136.422387387,0.007764597833498332
East Midlands,STIA,97996.84299281101,5109290.081772975,0.019180129024657988
East of England,AF,142787.12522688028,6660725.487198699,0.021437173097931146
East of England,AST,444039.79603023105,6660725.487198699,0.06666538005261358
East of England,CAN,217776.99171141256,6660725.487198699,0.03269568639781956
East of England,CHD,203914.11879976914,6660725.487198699,0.030614400667265645
East of England,CKD,202750.14745481382,5290905.481190745,0.038320500748991626
East of England,COPD,123234.65384039107,6660725.487198699,0.01850168635192018
East of England,CVDPP,48272.922982315016,3753926.6376526505,0.012859314430422732
East of England,DEM,55364.50658967003,6660559.652809549,0.008312290479421837
East of England,DEP,569755.5466837917,5290905.481190745,0.10768582971464562
East of England,DM,365634.0694442798,5361919.493904282,0.06819089131419304
East of England,EP,41033.804847190586,5290905.481190745,0.007755535416965287
East of England,HF,57357.35951916842,6660725.487198699,0.008611278100171517
East of England,HYP,960979.2846014755,6660725.487198699,0.14427546765714772
East of England,LD,33730.05024585602,6660725.487198699,0.005064020475049163
East of England,MH,56766.44022056189,6660725.487198699,0.008522561142875766
East of England,OB,522507.43257575884,5290905.481190745,0.0987557676910467
East of England,OST,17264.791910516295,2547988.4517079364,0.006775851711158099
East of England,PAD,34865.28178201033,6660725.487198699,0.005234457094654057
East of England,PC,32015.10499238682,6660725.487198699,0.004806549234601681
East of England,RA,44635.944072172206,5435853.671669169,0.008211395443701485
East of England,STIA,118433.58913566713,6660725.487198699,0.01778088428404467
London,AF,114747.5992578725,10249815.788433813,0.011195088929047583
London,AST,503421.7707988749,10249815.788433813,0.04911520179386546
London,CAN,217602.2422973692,10249815.788433813,0.021229868593630515
London,CHD,197718.4798003843,10249815.788433813,0.019289954461766574
London,CKD,195598.9627894811,8164928.483412733,0.023955992166599563
London,COPD,115933.05052615356,10249815.788433813,0.011310744789869858
London,CVDPP,56068.42454047241,5819769.699073239,0.009634131149450973
London,DEM,52042.84190212297,10250302.898274994,0.005077200392866554
London,DEP,664847.706561931,8164928.483412733,0.08142725412875158
London,DM,553696.3758944424,8267021.690897729,0.06697652390389648
London,EP,44196.87129218826,8164928.483412733,0.005413013890075751
London,HF,55712.46775326669,10249815.788433813,0.005435460392969623
London,HYP,1119486.7149703735,10249815.788433813,0.10922017898444912
London,LD,40253.35414266592,10249815.788433813,0.003927227081299253
London,MH,111729.01727326028,10249815.788433813,0.010900587832938279
London,OB,683283.7883768305,8164928.483412733,0.08368521411607456
London,OST,14861.44308500675,2758034.464580453,0.0053884181926883365
London,PAD,33311.402251663996,10249815.788433813,0.003249951310271697
London,PC,30698.669231164993,10249815.788433813,0.002995045946660452
London,RA,46073.32755345283,8371975.737459615,0.005503280109532816
London,STIA,109181.53449928733,10249815.788433813,0.010652048461445612
North East,AF,64469.31487090329,2795089.523120454,0.023065205725120882
North East,AST,198114.60046369332,2795089.523120454,0.07087951882217963
North East,CAN,94153.58669419846,2795089.523120454,0.03368535637781106
